company_name,domain,website_clean,priority_tier,tier_name,business_type,market_region,estimated_employees,currency,monthly_revenue_display,monthly_revenue_numeric,opportunity_value_display,opportunity_value_numeric,overall_score,digital_maturity_score,technology_readiness,digital_opportunity,website_performance_score,website_accessibility_score,website_seo_score,website_best_practices_score,website_overall_score,website_status,needs_improvement,outreach_priority,primary_pain_point,urgency_level,estimated_monthly_impact,success_probability,follow_up_timeline,talking_point_1,talking_point_2,talking_point_3,discovery_query,discovery_date,discovery_source,enrichment_status,enrichment_mode,enrichment_timestamp,lead_status,assigned_to,contact_priority,follow_up_date,notes,created_date,last_modified
Blue Sky Dental Clinic - North Vancouver Dentist,blueskydental.ca,https://blueskydental.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666669,CAD $244,243.6,0.886,49.5,Medium,Unknown,82,79,76,82,79.8,active,True,Platinum,Virtual Consultation Setup,Medium,7250.0,0.66,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Patient education content builds trust and increases referrals,Professional website credibility directly impacts client acquisition,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.900983,2025-07-30T17:17:20.683148
Services,smileavenuedental.ca › services,https://smileavenuedental.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666669,CAD $244,243.6,0.886,49.5,Medium,Unknown,82,82,84,87,83.8,active,True,Platinum,Insurance Verification Portal,Medium,7250.0,0.66,24 hours,Dental practices with online booking see 25% more appointments,Patient education content builds trust and increases referrals,Professional website credibility directly impacts client acquisition,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T17:17:20.683148
"White Center Smiles: Dentist in Seattle, WA",whitecentersmiles.com,https://whitecentersmiles.com,2,Tier 2 - Gold,Dental,"Seattle, WA",8,USD,"USD $86,667",86666.66666666667,USD $240,240.24000000000004,0.886,49.5,Medium,Unknown,69,62,77,76,71.0,active,True,Platinum,Patient Scheduling Integration,Medium,6500.0,0.66,24 hours,Insurance verification portals reduce administrative overhead by 45%,Treatment cost calculators increase case acceptance by 40%,Professional website credibility directly impacts client acquisition,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T17:17:20.683148
"Green Leaf Dental: Dentist in Seattle, WA",greenleafdentalseattle.com,https://greenleafdentalseattle.com,2,Tier 2 - Gold,Dental,"Seattle, WA",8,USD,"USD $86,667",86666.66666666667,USD $240,240.24000000000004,0.886,49.5,Medium,Unknown,56,64,65,49,58.5,active,True,Platinum,Insurance Verification Portal,Urgent,6500.0,0.66,24 hours,Dental practices with online booking see 25% more appointments,Patient education content builds trust and increases referrals,Professional website credibility directly impacts client acquisition,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T17:17:20.683148
Dentist Vancouver | Dental Clinic Vancouver | Dentists Near Me,oakridgedentalclinic.com,https://oakridgedentalclinic.com,2,Tier 2 - Gold,Dental,"Seattle, WA",8,USD,"USD $96,667",96666.66666666669,USD $244,243.6,0.886,49.5,High,Unknown,83,86,93,75,84.2,active,True,Platinum,Virtual Consultation Setup,Medium,7250.0,0.66,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Treatment cost calculators increase case acceptance by 40%,Professional website credibility directly impacts client acquisition,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T17:17:20.683148
Directions to 4th & Seneca Dental | Seattle Dentist,4thandsenecadental.com › getting-here,https://4thandsenecadental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",8,USD,"USD $86,667",86666.66666666667,USD $240,240.24000000000004,0.886,49.5,Medium,Unknown,74,77,82,81,78.5,active,True,Platinum,Treatment Cost Calculator,Medium,6500.0,0.66,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Virtual consultation setup could serve 30% more patients,Professional website credibility directly impacts client acquisition,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T17:17:20.683148
30 years of experience | Britania Dental Centre,britanniadentalcentre.ca › about us,https://britanniadentalcentre.ca,2,Tier 2 - Gold,Dental,Canada,8,CAD,"CAD $96,667",96666.66666666669,CAD $244,243.6,0.886,49.5,High,Unknown,88,83,88,91,87.5,active,True,Platinum,Virtual Consultation Setup,Medium,7250.0,0.66,24 hours,Dental practices with online booking see 25% more appointments,Patient education content builds trust and increases referrals,Professional website credibility directly impacts client acquisition,"inurl:about site:*.ca ""years experience"" ""practice"" -university",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T17:17:20.683148
"Gertsoyg & Company, Comprehensive Legal Services",yglaw.ca,https://yglaw.ca,2,Tier 2 - Gold,Legal,"Vancouver, BC",8,CAD,"CAD $120,000",120000.0,CAD $333,332.6400000000001,0.854,47.5,High,Unknown,89,94,85,95,90.8,active,True,Platinum,Case Management Integration,Urgent,9000.0,0.66,24 hours,Law firms with professional websites convert 50% more leads,$120k/month business - significant ROI potential,Professional website credibility directly impacts client acquisition,"site:*.ca ""law firm"" ""consultation"" vancouver -directory -lawyer.com",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.914530,2025-07-30T17:17:20.683148
5th & Olive Dental | Dentist Downtown Seattle,5thandolivedental.com,https://5thandolivedental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.66666666666,USD $150,150.14999999999998,0.868,49.5,Low,Unknown,60,50,56,60,56.5,active,True,Platinum,Insurance Verification Portal,Urgent,4062.0,0.65,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Virtual consultation setup could serve 30% more patients,Professional website credibility directly impacts client acquisition,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T17:17:20.683148
"Dentist Seattle, WA | Love Your Smile Family Dentistry",loveyoursmile.dentist,https://loveyoursmile.dentist,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.66666666666,USD $150,150.14999999999998,0.868,49.5,Medium,Unknown,72,79,68,80,74.8,active,True,Platinum,Patient Scheduling Integration,Medium,4062.0,0.65,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Patient education content builds trust and increases referrals,Professional website credibility directly impacts client acquisition,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T17:17:20.683148
Our Practice | Cambie Village Dental | Vancouver Dentist,cambievillagedental.com › site › vancouve...,https://cambievillagedental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $60,417",60416.66666666666,USD $167,167.475,0.868,49.5,Medium,Unknown,82,79,75,74,77.5,active,True,Platinum,Patient Scheduling Integration,Medium,4531.0,0.65,24 hours,Dental practices with online booking see 25% more appointments,Virtual consultation setup could serve 30% more patients,Professional website credibility directly impacts client acquisition,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T17:17:20.683148
Family Dentist in Seattle and South Lake Union,paramountdentalcenter.com › seattle-dentist,https://paramountdentalcenter.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.66666666666,USD $150,150.14999999999998,0.868,49.5,High,Unknown,85,82,88,74,82.2,active,True,Platinum,Patient Scheduling Integration,Medium,4062.0,0.65,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Patient education content builds trust and increases referrals,Professional website credibility directly impacts client acquisition,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.903079,2025-07-30T17:17:20.683148
Do Seniors Get Free Dental In Canada?,sabydental.ca › do-seniors-get-free-dental-i...,https://sabydental.ca,2,Tier 2 - Gold,Dental,Canada,5,CAD,"CAD $60,417",60416.66666666666,CAD $152,152.24999999999994,0.868,49.5,Low,Unknown,61,57,55,51,56.0,active,True,Platinum,Virtual Consultation Setup,Urgent,4531.0,0.65,24 hours,Insurance verification portals reduce administrative overhead by 45%,Virtual consultation setup could serve 30% more patients,Professional website credibility directly impacts client acquisition,"site:*.ca ""local clinic"" ""book appointment"" ""call"" -booking.com",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.903079,2025-07-30T17:17:20.683148
Restorative Fillings Near Me,loveitdental.ca › service › restorative-fillings,https://loveitdental.ca,2,Tier 2 - Gold,Dental,Canada,5,CAD,"CAD $60,417",60416.66666666666,CAD $152,152.24999999999994,0.868,49.5,High,Unknown,85,94,94,91,91.0,active,True,Platinum,Insurance Verification Portal,Medium,4531.0,0.65,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Virtual consultation setup could serve 30% more patients,Professional website credibility directly impacts client acquisition,"site:*.ca ""local clinic"" ""book appointment"" ""call"" -booking.com",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.903079,2025-07-30T17:17:20.683148
Creekside Dental Vancouver WA: Salmon Creek Dentist,creekside-dental.com,https://creekside-dental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $60,417",60416.66666666666,USD $152,152.24999999999994,0.868,49.5,High,Unknown,82,88,87,76,83.2,active,True,Platinum,Virtual Consultation Setup,Medium,4531.0,0.65,24 hours,Dental practices with online booking see 25% more appointments,Virtual consultation setup could serve 30% more patients,Professional website credibility directly impacts client acquisition,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.903079,2025-07-30T17:17:20.683148
SkyView Family Dentistry: Same-day crown dentist services,skyviewfamilydentistry.com,https://skyviewfamilydentistry.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.66666666666,USD $136,136.49999999999994,0.868,49.5,Medium,Unknown,67,67,59,75,67.0,active,True,Platinum,Treatment Cost Calculator,Medium,4062.0,0.65,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Patient education content builds trust and increases referrals,Professional website credibility directly impacts client acquisition,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.903079,2025-07-30T17:17:20.683148
Family Dentistry Vancouver WA,mynewimage.net › dentistry › family-dentistry,https://mynewimage.net,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $60,417",60416.66666666666,USD $152,152.24999999999994,0.868,49.5,Medium,Unknown,75,71,75,65,71.5,active,True,Platinum,Virtual Consultation Setup,Medium,4531.0,0.65,24 hours,Insurance verification portals reduce administrative overhead by 45%,Treatment cost calculators increase case acceptance by 40%,Professional website credibility directly impacts client acquisition,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904059,2025-07-30T17:17:20.683148
North Seattle Dental - Top Family and Cosmetic Dentists,northseattledental.com,https://northseattledental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.66666666666,USD $136,136.49999999999994,0.868,49.5,Low,Unknown,64,54,66,67,62.8,active,True,Platinum,Website Speed Optimization,Medium,4062.0,0.65,24 hours,Website loading 50% slower than industry standard,Virtual consultation setup could serve 30% more patients,1-second delay costs 7% conversion - immediate revenue impact,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T17:17:20.683148
Dentist West Seattle WA | Philip R Howard DDS,philiphowarddds.com,https://philiphowarddds.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.66666666666,USD $136,136.49999999999994,0.868,49.5,Low,Unknown,65,61,61,64,62.8,active,True,Platinum,Website Speed Optimization,Medium,4062.0,0.65,24 hours,Website loading 50% slower than industry standard,Virtual consultation setup could serve 30% more patients,1-second delay costs 7% conversion - immediate revenue impact,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T17:17:20.683148
"Family Dentist Seattle, WA",interbaydentist.com › seattle wa,https://interbaydentist.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.66666666666,USD $150,150.14999999999998,0.868,49.5,Medium,Unknown,69,72,78,70,72.2,active,True,Platinum,Virtual Consultation Setup,Medium,4062.0,0.65,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Treatment cost calculators increase case acceptance by 40%,Professional website credibility directly impacts client acquisition,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T17:17:20.683148
Westview Dental | West Seattle Family Dentistry,westviewdentalseattle.com,https://westviewdentalseattle.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.66666666666,USD $136,136.49999999999994,0.868,49.5,Medium,Unknown,77,85,72,85,79.8,active,True,Platinum,Insurance Verification Portal,Medium,4062.0,0.65,24 hours,Dental practices with online booking see 25% more appointments,Treatment cost calculators increase case acceptance by 40%,Professional website credibility directly impacts client acquisition,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T17:17:20.683148
Family Dentistry in Seattle South Lake Union WA,koisdentistry.com › family-dentistry,https://koisdentistry.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.66666666666,USD $136,136.49999999999994,0.868,49.5,Medium,Unknown,78,79,80,75,78.0,active,True,Platinum,Treatment Cost Calculator,Medium,4062.0,0.65,24 hours,Mobile-optimized sites capture 60% more emergency dental calls,Treatment cost calculators increase case acceptance by 40%,Professional website credibility directly impacts client acquisition,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T17:17:20.683148
Same-Day Dentistry at Our Family Dental Practice,paddendental.com › same-day-dentistry › same-da...,https://paddendental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $60,417",60416.66666666666,USD $152,152.24999999999994,0.868,49.5,Low,Unknown,55,64,57,53,57.2,active,True,Platinum,Insurance Verification Portal,Urgent,4531.0,0.65,24 hours,Insurance verification portals reduce administrative overhead by 45%,Patient education content builds trust and increases referrals,Professional website credibility directly impacts client acquisition,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T17:17:20.683148,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T17:17:20.683148
